Customer,Opportunity ID,Date,Paid minus Estimated,Stage,Status,Programme financé,Class,Amount,Estimated amount,Activity sector,City,Parent Business Account
C00001,1387,2021-02-25,0.0,Won,Won,,Private partnership - Patronage,4800.0,4800.0,"HEALTH - SOCIAL - Social, Associations, Foundations",LYON,
C00001,2554,2022-05-18,0.0,Won,Won,Réussite dans la Ville,Private partnership - Patronage,4800.0,4800.0,"HEALTH - SOCIAL - Social, Associations, Foundations",LYON,
C00002,1588,2021-03-02,0.0,Won,Won,,Private partnership - Apprenticeship tax,183.0,183.0,,Lyon,
C00004,2631,2022-01-10,0.0,Won,Won,,Private partnership - Event,10000.0,10000.0,"BUSINESS ADMINISTRATION - Consulting, Audit, Accounting",PARIS,
C00004,3653,2022-04-26,0.0,Won,Won,,Private partnership - Event,7000.0,7000.0,"BUSINESS ADMINISTRATION - Consulting, Audit, Accounting",PARIS,
C00004,3655,2022-04-26,0.0,Won,Won,,Private partnership - Event,10000.0,10000.0,"BUSINESS ADMINISTRATION - Consulting, Audit, Accounting",PARIS,
C00011,2163,2021-05-20,0.0,Won,Won,,Private partnership - Apprenticeship tax,684.0,684.0,HOTEL - CATERING - TOURISM,ISSY-LES-MOULINEAUX,
C00011,2213,2021-05-27,0.0,Won,Won,,Private partnership - Apprenticeship tax,283.0,283.0,HOTEL - CATERING - TOURISM,ISSY-LES-MOULINEAUX,
C00011,5392,2023-02-20,0.0,Won,Won,Job dans la Ville,Private partnership - Apprenticeship tax,200.0,200.0,HOTEL - CATERING - TOURISM,ISSY-LES-MOULINEAUX,
C00013,1726,2021-05-20,0.0,Won,Won,,Private partnership - Event,3000.0,3000.0,"LAW - ECONOMICS - MANAGEMENT - Accounting, Management",PARIS,
C00013,3101,2021-12-07,0.0,Won,Won,Non fléché,Private partnership - Patronage,7000.0,7000.0,"LAW - ECONOMICS - MANAGEMENT - Accounting, Management",PARIS,
C00013,3260,2022-05-30,0.0,Won,Won,,Private partnership - Event,6000.0,6000.0,"LAW - ECONOMICS - MANAGEMENT - Accounting, Management",PARIS,
C00013,3922,2022-12-27,0.0,Won,Won,,Private partnership - Event,14000.0,14000.0,"LAW - ECONOMICS - MANAGEMENT - Accounting, Management",PARIS,
C00013,5699,2023-06-07,0.0,Won,Won,,Private partnership - Event,7000.0,7000.0,"LAW - ECONOMICS - MANAGEMENT - Accounting, Management",PARIS,
C00013,5794,2023-09-20,0.0,Won,Won,,Private partnership - Event,30000.0,30000.0,"LAW - ECONOMICS - MANAGEMENT - Accounting, Management",PARIS,
C00017,3367,2022-04-14,0.0,Won,Won,,Private partnership - Event,3000.0,3000.0,"REAL ESTATE - Architecture, Real Estate",LYON,
C00017,5137,2023-02-23,0.0,Won,Won,,Private partnership - Event,3500.0,3500.0,"REAL ESTATE - Architecture, Real Estate",LYON,
C00022,1929,2021-05-26,720.0,Won,Won,,Campus - Room,960.0,240.0,COMPUTING - TELECOM - Networks,VILLEURBANNE,
C00022,1967,2021-06-02,120.0,Won,Won,,Campus - Room,240.0,120.0,COMPUTING - TELECOM - Networks,VILLEURBANNE,
C00022,1986,2021-06-09,0.0,Won,Won,,Campus - Room,120.0,120.0,COMPUTING - TELECOM - Networks,VILLEURBANNE,
C00023,3530,2022-09-16,-15000.0,Won,Won,Sport,Private partnership - Patronage,15000.0,30000.0,TRANSPORT - Passenger transport,ROISSY EN FRANCE,
C00023,3530,2023-02-06,-15000.0,Won,Won,Sport,Private partnership - Patronage,15000.0,30000.0,TRANSPORT - Passenger transport,ROISSY EN FRANCE,
C00023,5764,2023-09-13,-20000.0,Won,New,Sport,Private partnership - Patronage,20000.0,40000.0,TRANSPORT - Passenger transport,ROISSY EN FRANCE,
C00024,4,2021-07-02,0.0,Won,Won,Job dans la Ville,Private partnership - Patronage,7500.0,7500.0,INDUSTRIES - Chemical industry,PARIS,
C00024,1506,2022-12-20,-25000.0,Won,Open,Job dans la Ville,Private partnership - Patronage,25000.0,50000.0,INDUSTRIES - Chemical industry,PARIS,
C00024,1805,2021-07-02,0.0,Won,Won,Job dans la Ville,Private partnership - Patronage,25000.0,25000.0,INDUSTRIES - Chemical industry,PARIS,
C00024,2746,2021-12-22,-50000.0,Won,New,Job dans la Ville,Private partnership - Patronage,25000.0,75000.0,INDUSTRIES - Chemical industry,PARIS,
C00024,2746,2022-08-05,-50000.0,Won,New,Job dans la Ville,Private partnership - Patronage,25000.0,75000.0,INDUSTRIES - Chemical industry,PARIS,
C00027,2527,2021-09-14,0.0,Won,Won,,Private partnership - Event,6000.0,6000.0,"REAL ESTATE - Architecture, Real Estate",LYON,
C00027,3632,2022-05-18,0.0,Won,Won,,Private partnership - Event,6000.0,6000.0,"REAL ESTATE - Architecture, Real Estate",LYON,
C00034,2015,2021-05-27,,,,,,10000.0,,"INDUSTRIES - Aircraft, railway, shipbuilding",SAINT-OUEN CEDEX,
C00034,4100,2022-05-31,0.0,Won,Won,Job dans la Ville,Private partnership - Apprenticeship tax,10000.0,10000.0,"INDUSTRIES - Aircraft, railway, shipbuilding",SAINT-OUEN CEDEX,
C00036,6,2020-04-28,-17323.92,Won,Won,Job dans la Ville,Private partnership - Patronage,209.08,17533.0,PUBLIC SECTOR - Political & Administrative Services,PARIS CEDEX 08,
C00036,6,2021-02-17,-14209.0,Won,Won,Job dans la Ville,Private partnership - Patronage,3324.0,17533.0,PUBLIC SECTOR - Political & Administrative Services,PARIS CEDEX 08,
C00036,6,2021-04-28,-17323.92,Won,Won,Job dans la Ville,Private partnership - Patronage,209.08,17533.0,PUBLIC SECTOR - Political & Administrative Services,PARIS CEDEX 08,
C00036,1541,2021-07-28,-5645.060000000001,Won,Won,Job dans la Ville,Private partnership - Patronage,16055.0,21700.06,PUBLIC SECTOR - Political & Administrative Services,PARIS CEDEX 08,
C00036,1541,2022-12-21,-16055.0,Won,Won,Job dans la Ville,Private partnership - Patronage,5645.06,21700.06,PUBLIC SECTOR - Political & Administrative Services,PARIS CEDEX 08,
C00036,2425,2023-03-29,-5088.0,Won,Open,Sport,Private partnership - Patronage,14912.0,20000.0,PUBLIC SECTOR - Political & Administrative Services,PARIS CEDEX 08,
C00037,817,2021-01-21,0.0,Won,Won,Non fléché,Private partnership - Event,8000.0,8000.0,"LAW - ECONOMICS - MANAGEMENT - Accounting, Management",LYON,
C00037,2084,2021-06-07,0.0,Won,Won,,Private partnership - Apprenticeship tax,651.95,651.95,"LAW - ECONOMICS - MANAGEMENT - Accounting, Management",LYON,
C00037,2655,2021-12-15,0.0,Won,Won,,Private partnership - Event,8000.0,8000.0,"LAW - ECONOMICS - MANAGEMENT - Accounting, Management",LYON,
C00037,4068,2022-05-27,0.0,Won,Won,,Private partnership - Apprenticeship tax,500.0,500.0,"LAW - ECONOMICS - MANAGEMENT - Accounting, Management",LYON,
C00037,4090,2022-06-01,0.0,Won,Won,Job dans la Ville,Private partnership - Apprenticeship tax,258.28,258.28,"LAW - ECONOMICS - MANAGEMENT - Accounting, Management",LYON,
C00037,4666,2023-09-21,0.0,Won,Won,,Private partnership - Event,8000.0,8000.0,"LAW - ECONOMICS - MANAGEMENT - Accounting, Management",LYON,
C00038,1559,2021-03-10,0.0,Won,Won,,Private partnership - Apprenticeship tax,1748.21,1748.21,,PARIS,
C00038,3550,2022-03-08,0.0,Won,Won,,Private partnership - Apprenticeship tax,1860.23,1860.23,,PARIS,
C00041,1445,2021-02-24,0.0,Won,Won,Entrepreneurs dans la Ville,Private partnership - Patronage,160000.0,160000.0,"INSURANCE - BANKING - Banking, Insurance, Finance, Investment funds",CALUIRE ET CUIRE,
C00041,2013,2021-05-28,0.0,Won,Won,,Private partnership - Apprenticeship tax,5298.0,5298.0,"INSURANCE - BANKING - Banking, Insurance, Finance, Investment funds",CALUIRE ET CUIRE,
C00041,2406,2022-01-12,0.0,Won,Won,Entrepreneurs dans la Ville,Private partnership - Patronage,100000.0,100000.0,"INSURANCE - BANKING - Banking, Insurance, Finance, Investment funds",CALUIRE ET CUIRE,
C00041,2648,2021-10-27,0.0,Won,Won,,Private partnership - Event,8000.0,8000.0,"INSURANCE - BANKING - Banking, Insurance, Finance, Investment funds",CALUIRE ET CUIRE,
C00041,4063,2022-05-31,0.0,Won,Won,,Private partnership - Apprenticeship tax,5773.4,5773.4,"INSURANCE - BANKING - Banking, Insurance, Finance, Investment funds",CALUIRE ET CUIRE,
C00041,4665,2022-10-19,0.0,Won,Won,,Private partnership - Event,8000.0,8000.0,"INSURANCE - BANKING - Banking, Insurance, Finance, Investment funds",CALUIRE ET CUIRE,
C00041,5702,2023-08-23,0.0,Won,Won,,Private partnership - Event,15000.0,15000.0,"INSURANCE - BANKING - Banking, Insurance, Finance, Investment funds",CALUIRE ET CUIRE,
C00042,1842,2021-01-13,0.0,Won,Won,Job dans la Ville,Private partnership - Patronage,5000.0,5000.0,"INSURANCE - BANKING - Banking, Insurance, Finance, Investment funds",Lyon,
C00042,2459,2022-06-17,0.0,Won,Won,Job dans la Ville,Private partnership - Patronage,5000.0,5000.0,"INSURANCE - BANKING - Banking, Insurance, Finance, Investment funds",Lyon,
C00042,4709,2022-12-29,,,,,,5000.0,,"INSURANCE - BANKING - Banking, Insurance, Finance, Investment funds",Lyon,
C00043,4686,2022-11-02,0.0,Won,Won,,Private partnership - Event,8000.0,8000.0,"CUSTOMER RELATIONS - Trade, distribution",RILLIEUX LA PAPE,
C00044,1542,2022-01-19,0.0,Won,Won,,Private partnership - Event,9000.0,9000.0,"BUSINESS ADMINISTRATION - Consulting, Audit, Accounting",PARIS,
C00044,1558,2022-01-19,0.0,Won,Won,,Private partnership - Event,7000.0,7000.0,"BUSINESS ADMINISTRATION - Consulting, Audit, Accounting",PARIS,
C00044,1807,2022-01-19,0.0,Won,Won,Job dans la Ville,Private partnership - Patronage,20000.0,20000.0,"BUSINESS ADMINISTRATION - Consulting, Audit, Accounting",PARIS,
C00044,2117,2021-06-01,0.0,Won,Won,,Private partnership - Apprenticeship tax,1993.5,1993.5,"BUSINESS ADMINISTRATION - Consulting, Audit, Accounting",PARIS,
C00044,2753,2022-01-19,0.0,Won,Won,,Private partnership - Event,4000.0,4000.0,"BUSINESS ADMINISTRATION - Consulting, Audit, Accounting",PARIS,
C00044,3667,2023-01-09,0.0,Won,Won,,Private partnership - Event,10000.0,10000.0,"BUSINESS ADMINISTRATION - Consulting, Audit, Accounting",PARIS,
C00044,3797,2022-04-25,0.0,Won,Won,,Private partnership - Apprenticeship tax,2427.52,2427.52,"BUSINESS ADMINISTRATION - Consulting, Audit, Accounting",PARIS,
C00044,5441,2023-09-27,0.0,Won,Won,,Private partnership - Event,7000.0,7000.0,"BUSINESS ADMINISTRATION - Consulting, Audit, Accounting",PARIS,
C00045,1902,2021-05-17,0.0,Won,Won,,Private partnership - Apprenticeship tax,600.0,600.0,"INDUSTRIES - Metallurgy, Steel industry",GRENOBLE,
C00045,1920,2021-05-19,0.0,Won,Won,,Private partnership - Apprenticeship tax,259.0,259.0,"INDUSTRIES - Metallurgy, Steel industry",GRENOBLE,
C00045,1921,2021-05-19,0.0,Won,Won,,Private partnership - Apprenticeship tax,1737.0,1737.0,"INDUSTRIES - Metallurgy, Steel industry",GRENOBLE,
C00045,3726,2022-04-19,0.0,Won,Won,,Private partnership - Apprenticeship tax,848.0,848.0,"INDUSTRIES - Metallurgy, Steel industry",GRENOBLE,
C00045,3727,2022-04-19,0.0,Won,Won,,Private partnership - Apprenticeship tax,118.0,118.0,"INDUSTRIES - Metallurgy, Steel industry",GRENOBLE,
C00045,3728,2022-04-19,0.0,Won,Won,,Private partnership - Apprenticeship tax,299.0,299.0,"INDUSTRIES - Metallurgy, Steel industry",GRENOBLE,
C00047,2106,2021-05-26,0.0,Won,Won,,Private partnership - Apprenticeship tax,6000.0,6000.0,"INSURANCE - BANKING - Banking, Insurance, Finance, Investment funds",PARIS,
C00047,4288,2022-06-06,0.0,Won,Won,Job dans la Ville,Private partnership - Apprenticeship tax,5850.53,5850.53,"INSURANCE - BANKING - Banking, Insurance, Finance, Investment funds",PARIS,
C00047,4673,2022-10-07,,,,,,16053.0,,"INSURANCE - BANKING - Banking, Insurance, Finance, Investment funds",PARIS,
C00047,5925,2023-08-18,-4000.0,Won,New,Job dans la Ville,Private partnership - Patronage,2000.0,6000.0,"INSURANCE - BANKING - Banking, Insurance, Finance, Investment funds",PARIS,
C00049,1467,2021-03-01,100000.0,Won,Open,L dans la Ville,Private partnership - Patronage,200000.0,100000.0,INDUSTRIES - Chemical industry,COLOMBES CEDEX,
C00049,1467,2021-03-11,0.0,Won,Open,L dans la Ville,Private partnership - Patronage,100000.0,100000.0,INDUSTRIES - Chemical industry,COLOMBES CEDEX,
C00049,1467,2022-05-20,0.0,Won,Open,L dans la Ville,Private partnership - Patronage,100000.0,100000.0,INDUSTRIES - Chemical industry,COLOMBES CEDEX,
C00049,1565,2021-03-11,0.0,Won,Won,,Private partnership - Event,3000.0,3000.0,INDUSTRIES - Chemical industry,COLOMBES CEDEX,
C00049,2017,2021-05-27,0.0,Won,Won,,Private partnership - Apprenticeship tax,5000.0,5000.0,INDUSTRIES - Chemical industry,COLOMBES CEDEX,
C00049,3957,2022-05-20,0.0,Won,Won,,Private partnership - Apprenticeship tax,3000.0,3000.0,INDUSTRIES - Chemical industry,COLOMBES CEDEX,
C00049,4738,2023-02-20,-300000.0,Won,New,Job dans la Ville,Private partnership - Patronage,150000.0,450000.0,INDUSTRIES - Chemical industry,COLOMBES CEDEX,
C00057,5554,2023-06-28,0.0,Won,Won,,Private partnership - Event,4000.0,4000.0,"INSURANCE - BANKING - Banking, Insurance, Finance, Investment funds",PARIS,
C00063,4426,2022-08-31,0.0,Won,Won,Job dans la Ville,Private partnership - Apprenticeship tax,2898.0,2898.0,"COMMERCE - Retail, Other retail, Crafts",CROIX,
C00065,1607,2021-03-05,0.0,Won,Won,,Private partnership - Event,3000.0,3000.0,TRANSPORT - Passenger transport,BELLEVILLE-EN-BEAUJOLAIS,
C00065,2093,2021-06-16,0.0,Won,Won,,Private partnership - Apprenticeship tax,500.0,500.0,TRANSPORT - Passenger transport,BELLEVILLE-EN-BEAUJOLAIS,
C00065,2649,2022-04-19,0.0,Won,Won,,Private partnership - Event,4000.0,4000.0,TRANSPORT - Passenger transport,BELLEVILLE-EN-BEAUJOLAIS,
C00065,3294,2022-03-10,,,,,,3000.0,,TRANSPORT - Passenger transport,BELLEVILLE-EN-BEAUJOLAIS,
C00065,4129,2022-06-14,0.0,Won,Won,Job dans la Ville,Private partnership - Apprenticeship tax,500.0,500.0,TRANSPORT - Passenger transport,BELLEVILLE-EN-BEAUJOLAIS,
C00065,5313,2023-02-28,0.0,Won,Won,,Private partnership - Event,3500.0,3500.0,TRANSPORT - Passenger transport,BELLEVILLE-EN-BEAUJOLAIS,
C00067,1730,2021-05-27,0.0,Won,Won,,Private partnership - Event,3000.0,3000.0,"INSURANCE - BANKING - Banking, Insurance, Finance, Investment funds",NANTERRE,
C00067,4396,2023-02-15,0.0,Won,Won,,Private partnership - Event,3000.0,3000.0,"INSURANCE - BANKING - Banking, Insurance, Finance, Investment funds",NANTERRE,
C00068,3607,2022-05-02,0.0,Won,Won,,Private partnership - Event,10000.0,10000.0,"BUSINESS ADMINISTRATION - Consulting, Audit, Accounting",LYON,
C00072,672,2021-01-22,0.0,Won,Won,Non fléché,Private partnership - Event,8000.0,8000.0,COMPUTING - TELECOM - Networks,LYON,
C00072,2361,2021-06-07,0.0,Won,Won,Non fléché,Private partnership - Patronage,2183.0,2183.0,COMPUTING - TELECOM - Networks,LYON,
C00072,2362,2021-07-02,0.0,Won,Won,Non fléché,Private partnership - Patronage,4673.0,4673.0,COMPUTING - TELECOM - Networks,LYON,
C00072,2363,2021-07-28,0.0,Won,Won,Non fléché,Private partnership - Patronage,6368.0,6368.0,COMPUTING - TELECOM - Networks,LYON,
C00072,2650,2022-04-11,0.0,Won,Won,,Private partnership - Event,8000.0,8000.0,COMPUTING - TELECOM - Networks,LYON,
C00072,3100,2021-11-26,0.0,Won,Won,Non fléché,Private partnership - Patronage,8650.0,8650.0,COMPUTING - TELECOM - Networks,LYON,
C00072,3565,2022-03-03,0.0,Won,Won,Non fléché,Private partnership - Patronage,8839.0,8839.0,COMPUTING - TELECOM - Networks,LYON,
C00072,3879,2022-05-24,0.0,Won,Won,,Campus - Field,208.0,208.0,COMPUTING - TELECOM - Networks,LYON,
C00072,4662,2023-01-09,0.0,Won,Won,,Private partnership - Event,8000.0,8000.0,COMPUTING - TELECOM - Networks,LYON,
C00072,5116,2022-12-23,,,,,,8131.0,,COMPUTING - TELECOM - Networks,LYON,
C00072,5580,2023-04-13,0.0,Won,Won,,Campus - Field,230.5,230.5,COMPUTING - TELECOM - Networks,LYON,
C00075,2112,2021-05-31,0.0,Won,Won,,Private partnership - Apprenticeship tax,4341.13,4341.13,"BUSINESS ADMINISTRATION - Consulting, Audit, Accounting",PARIS,
C00075,2721,2021-11-11,0.0,Won,Won,,Private partnership - Event,4000.0,4000.0,"BUSINESS ADMINISTRATION - Consulting, Audit, Accounting",PARIS,
C00075,4054,2022-05-27,0.0,Won,Won,Job dans la Ville,Private partnership - Apprenticeship tax,5086.4,5086.4,"BUSINESS ADMINISTRATION - Consulting, Audit, Accounting",PARIS,
C00075,4282,2022-09-09,0.0,Won,Won,Non fléché,Private partnership - Patronage,3000.0,3000.0,"BUSINESS ADMINISTRATION - Consulting, Audit, Accounting",PARIS,
C00076,1468,2021-02-12,0.0,Won,Won,Entrepreneurs dans la Ville,Private partnership - Patronage,203400.86,203400.86,"INSURANCE - BANKING - Banking, Insurance, Finance, Investment funds",PARIS,
C00076,2143,2021-05-31,0.0,Won,Won,,Private partnership - Apprenticeship tax,9115.0,9115.0,"INSURANCE - BANKING - Banking, Insurance, Finance, Investment funds",PARIS,
C00076,2144,2021-05-31,0.0,Won,Won,,Private partnership - Apprenticeship tax,5885.0,5885.0,"INSURANCE - BANKING - Banking, Insurance, Finance, Investment funds",PARIS,
C00076,2423,2022-01-24,0.0,Won,Won,Entrepreneurs dans la Ville,Private partnership - Patronage,221160.65,221160.65,"INSURANCE - BANKING - Banking, Insurance, Finance, Investment funds",PARIS,
C00076,2574,2021-11-15,0.0,Won,Won,,Private partnership - Event,4369.1,4369.1,"INSURANCE - BANKING - Banking, Insurance, Finance, Investment funds",PARIS,
C00076,4023,2022-05-27,10000.0,Won,Won,,Private partnership - Apprenticeship tax,20000.0,10000.0,"INSURANCE - BANKING - Banking, Insurance, Finance, Investment funds",PARIS,
C00076,4250,2023-01-23,,,,,,229969.64,,"INSURANCE - BANKING - Banking, Insurance, Finance, Investment funds",PARIS,
C00078,14,2021-04-16,-65000.0,Won,Won,,Private partnership - Patronage,65000.0,130000.0,"MEDIA - ARTS - SPORTS - Sports, Infrastructure, Clubs",VILLENEUVE-D'ASCQ,
C00078,1425,2021-11-05,0.0,Won,Won,Non fléché,Private partnership - Patronage,100000.0,100000.0,"MEDIA - ARTS - SPORTS - Sports, Infrastructure, Clubs",VILLENEUVE-D'ASCQ,
C00078,1544,2021-09-03,0.0,Won,Won,,Private partnership - Event,18000.0,18000.0,"MEDIA - ARTS - SPORTS - Sports, Infrastructure, Clubs",VILLENEUVE-D'ASCQ,
C00078,1886,2021-11-05,0.0,Won,Won,Sport,Private partnership - Patronage,17300.0,17300.0,"MEDIA - ARTS - SPORTS - Sports, Infrastructure, Clubs",VILLENEUVE-D'ASCQ,
C00078,2102,2021-02-26,0.0,Won,Won,,Private partnership - Apprenticeship tax,1243.77,1243.77,"MEDIA - ARTS - SPORTS - Sports, Infrastructure, Clubs",VILLENEUVE-D'ASCQ,
C00078,2448,2022-11-09,0.0,Won,Won,Non fléché,Private partnership - Patronage,100000.0,100000.0,"MEDIA - ARTS - SPORTS - Sports, Infrastructure, Clubs",VILLENEUVE-D'ASCQ,
C00078,3431,2022-11-09,0.0,Won,Won,,Private partnership - Event,12000.0,12000.0,"MEDIA - ARTS - SPORTS - Sports, Infrastructure, Clubs",VILLENEUVE-D'ASCQ,
C00078,3892,2022-02-17,0.0,Won,Won,,Private partnership - Event,6000.0,6000.0,"MEDIA - ARTS - SPORTS - Sports, Infrastructure, Clubs",VILLENEUVE-D'ASCQ,
C00078,3892,2023-02-17,0.0,Won,Won,,Private partnership - Event,6000.0,6000.0,"MEDIA - ARTS - SPORTS - Sports, Infrastructure, Clubs",VILLENEUVE-D'ASCQ,
C00078,4230,2022-06-15,0.0,Won,Won,Job dans la Ville,Private partnership - Apprenticeship tax,20545.7,20545.7,"MEDIA - ARTS - SPORTS - Sports, Infrastructure, Clubs",VILLENEUVE-D'ASCQ,
C00078,4495,2023-09-20,-620000.0,Won,New,Sport,Private partnership - Patronage,155000.0,775000.0,"MEDIA - ARTS - SPORTS - Sports, Infrastructure, Clubs",VILLENEUVE-D'ASCQ,
C00078,5695,2023-09-20,-28000.0,Won,New,,Private partnership - Event,7000.0,35000.0,"MEDIA - ARTS - SPORTS - Sports, Infrastructure, Clubs",VILLENEUVE-D'ASCQ,
C00078,5768,2023-09-20,-28000.0,Won,New,,Private partnership - Event,7000.0,35000.0,"MEDIA - ARTS - SPORTS - Sports, Infrastructure, Clubs",VILLENEUVE-D'ASCQ,
C00078,5769,2023-09-20,-28000.0,Won,New,,Private partnership - Event,7000.0,35000.0,"MEDIA - ARTS - SPORTS - Sports, Infrastructure, Clubs",VILLENEUVE-D'ASCQ,
C00083,1384,2021-03-03,9000.0,Won,Won,"Job dans la Ville, L dans la Ville",Private partnership - Patronage,13500.0,4500.0,"COMMERCE - Retail, Other retail, Crafts",LE PONT DE CLAIX,
C00083,1703,2022-01-19,,,,,,3000.0,,"COMMERCE - Retail, Other retail, Crafts",LE PONT DE CLAIX,
C00083,1946,2021-06-09,0.0,Won,Won,,Private partnership - Apprenticeship tax,8000.0,8000.0,"COMMERCE - Retail, Other retail, Crafts",LE PONT DE CLAIX,
C00083,3909,2022-05-30,0.0,Won,Won,,Private partnership - Apprenticeship tax,8000.0,8000.0,"COMMERCE - Retail, Other retail, Crafts",LE PONT DE CLAIX,
C00086,2120,2021-05-27,0.0,Won,Won,,Private partnership - Apprenticeship tax,1000.0,1000.0,"MEDIA - ARTS - SPORTS - Audiovisual, Media, Publishing",BOULOGNE BILLANCOURT,
C00086,4050,2022-05-30,0.0,Won,Won,,Private partnership - Apprenticeship tax,1000.0,1000.0,"MEDIA - ARTS - SPORTS - Audiovisual, Media, Publishing",BOULOGNE BILLANCOURT,
C00086,5700,2023-07-10,0.0,Won,Won,,Private partnership - Event,7000.0,7000.0,"MEDIA - ARTS - SPORTS - Audiovisual, Media, Publishing",BOULOGNE BILLANCOURT,
C00087,1410,2021-03-01,0.0,Won,Won,Job dans la Ville,Private partnership - Patronage,5000.0,5000.0,AGRI-FOOD - Food,SURESNES,
C00087,1410,2021-03-11,0.0,Won,Won,Job dans la Ville,Private partnership - Patronage,5000.0,5000.0,AGRI-FOOD - Food,SURESNES,
C00088,4614,2022-10-04,0.0,Won,Won,,Private partnership - Event,10000.0,10000.0,"COMMERCE - Retail, Other retail, Crafts",PARIS,
C00088,5760,2023-10-05,0.0,Won,Won,,Private partnership - Event,15000.0,15000.0,"COMMERCE - Retail, Other retail, Crafts",PARIS,
C00092,1924,2021-05-19,0.0,Won,Won,,Private partnership - Apprenticeship tax,5760.0,5760.0,"COMMERCE - Retail, Other retail, Crafts",CLICHY CEDEX FRANCE,
C00092,2008,2021-07-01,0.0,Won,Won,Sport,Private partnership - Patronage,5000.0,5000.0,"COMMERCE - Retail, Other retail, Crafts",CLICHY CEDEX FRANCE,
C00092,2160,2021-05-19,0.0,Won,Won,,Private partnership - Apprenticeship tax,425.0,425.0,"COMMERCE - Retail, Other retail, Crafts",CLICHY CEDEX FRANCE,
C00092,2185,2021-05-26,0.0,Won,Won,,Private partnership - Apprenticeship tax,1650.0,1650.0,"COMMERCE - Retail, Other retail, Crafts",CLICHY CEDEX FRANCE,
C00092,3969,2022-05-20,0.0,Won,Won,,Private partnership - Apprenticeship tax,406.56,406.56,"COMMERCE - Retail, Other retail, Crafts",CLICHY CEDEX FRANCE,
C00092,4020,2022-05-27,0.0,Won,Won,Job dans la Ville,Private partnership - Apprenticeship tax,1859.65,1859.65,"COMMERCE - Retail, Other retail, Crafts",CLICHY CEDEX FRANCE,
C00092,4037,2022-05-25,0.0,Won,Won,,Private partnership - Apprenticeship tax,2894.62,2894.62,"COMMERCE - Retail, Other retail, Crafts",CLICHY CEDEX FRANCE,
C00094,1563,2021-02-19,0.0,Won,Won,,Private partnership - Event,6000.0,6000.0,HEALTH - SOCIAL - Paramedical,MARCY L ETOILE,
C00094,1713,2021-11-05,,,,,,12000.0,,HEALTH - SOCIAL - Paramedical,MARCY L ETOILE,
C00094,1715,2021-04-30,0.0,Won,Won,Job dans la Ville,Private partnership - Patronage,24000.0,24000.0,HEALTH - SOCIAL - Paramedical,MARCY L ETOILE,
C00094,1724,2021-11-05,,,,,,8000.0,,HEALTH - SOCIAL - Paramedical,MARCY L ETOILE,
C00094,2089,2021-05-28,0.0,Won,Won,,Private partnership - Apprenticeship tax,8000.0,8000.0,HEALTH - SOCIAL - Paramedical,MARCY L ETOILE,
C00094,2757,2021-12-13,,,,,,200000.0,,HEALTH - SOCIAL - Paramedical,MARCY L ETOILE,
C00094,3405,2022-02-14,0.0,Won,Won,,Campus - Event,2838.0,2838.0,HEALTH - SOCIAL - Paramedical,MARCY L ETOILE,
C00094,3546,2022-03-30,0.0,Won,Won,,Private partnership - Event,6000.0,6000.0,HEALTH - SOCIAL - Paramedical,MARCY L ETOILE,
C00094,3656,2022-05-09,0.0,Won,Won,,Private partnership - Event,12000.0,12000.0,HEALTH - SOCIAL - Paramedical,MARCY L ETOILE,
C00094,3876,2022-05-13,,,,,,2000.0,,HEALTH - SOCIAL - Paramedical,MARCY L ETOILE,
C00094,3930,2022-06-10,0.0,Won,Won,,Private partnership - Event,20000.0,20000.0,HEALTH - SOCIAL - Paramedical,MARCY L ETOILE,
C00094,4417,2022-07-12,0.0,Won,Won,Job dans la Ville,Private partnership - Apprenticeship tax,6000.0,6000.0,HEALTH - SOCIAL - Paramedical,MARCY L ETOILE,
