Opportunity ID,Business Account,Contact ID,Estimated Close Date,Status,Stage,Probability,Estimated amount,Amount received,Difference,Class ID,Class,Programme financé,Agreement,Created On,Last Modified Date,Actual Close Date,Assignment Date
6387,C00037,35334.0,2023-11-27 00:00:00.000,New,Won,100,9000.0,0.0,-9000.0,PPRIV EVNT,Private partnership - Event,,,2023-10-11 10:59:07.310,2023-10-11 10:59:07.310,,2023-10-11 10:58:16.137
6386,C01254,36240.0,2023-10-11 00:00:00.000,New,Won,100,9000.0,0.0,-9000.0,PPRIV EVNT,Private partnership - Event,,,2023-10-11 10:55:50.773,2023-10-11 10:55:50.773,,2023-10-11 10:53:26.857
6385,C21512,47640.0,2023-10-11 00:00:00.000,New,Oral agreement,80,140.0,0.0,-140.0,PPRIV MEC,Private partnership - Patronage,Non fléché,False,2023-10-11 08:53:52.533,2023-10-11 08:54:37.860,,2023-10-11 08:52:52.257
6384,C21509,47636.0,2023-10-11 00:00:00.000,New,Oral agreement,80,350.0,0.0,-350.0,PPRIV MEC,Private partnership - Patronage,Non fléché,False,2023-10-11 08:42:41.140,2023-10-11 08:42:41.140,,2023-10-11 08:41:27.513
6383,C21508,47635.0,2023-10-10 00:00:00.000,New,Oral agreement,80,120.0,0.0,-120.0,PPRIV MEC,Private partnership - Patronage,Non fléché,False,2023-10-10 15:54:31.827,2023-10-10 15:56:12.527,,2023-10-10 15:53:17.550
6382,C21514,47646.0,2023-10-10 00:00:00.000,New,Oral agreement,80,80.0,0.0,-80.0,PPRIV MEC,Private partnership - Patronage,Non fléché,False,2023-10-10 15:46:07.130,2023-10-10 15:46:50.527,,2023-10-10 15:45:10.960
6381,C01757,40330.0,2023-10-10 00:00:00.000,New,Oral agreement,80,20.0,0.0,-20.0,PPRIV MEC,Private partnership - Patronage,Non fléché,False,2023-10-10 15:39:39.483,2023-10-10 15:40:16.963,,2023-10-10 15:38:54.700
6380,C01757,40330.0,2023-10-10 00:00:00.000,New,Oral agreement,80,20.0,0.0,-20.0,PPRIV MEC,Private partnership - Patronage,Non fléché,False,2023-10-10 15:36:34.633,2023-10-10 15:37:56.083,,2023-10-10 15:35:47.983
6379,C20908,47347.0,2023-10-10 00:00:00.000,New,Oral agreement,80,20.0,0.0,-20.0,PPRIV MEC,Private partnership - Patronage,Non fléché,False,2023-10-10 15:25:31.200,2023-10-10 15:26:04.457,,2023-10-10 15:24:45.087
6378,C20908,47347.0,2023-10-10 00:00:00.000,New,Oral agreement,80,80.0,0.0,-80.0,PPRIV MEC,Private partnership - Patronage,Non fléché,False,2023-10-10 15:23:12.613,2023-10-10 15:23:58.030,,2023-10-10 15:22:36.293
6377,C20908,47347.0,2023-10-10 00:00:00.000,New,Oral agreement,80,20.0,0.0,-20.0,PPRIV MEC,Private partnership - Patronage,Non fléché,False,2023-10-10 15:20:28.110,2023-10-10 15:21:16.050,,2023-10-10 15:19:43.930
6376,C20908,47347.0,2023-10-10 00:00:00.000,New,Oral agreement,80,20.0,0.0,-20.0,PPRIV MEC,Private partnership - Patronage,Non fléché,False,2023-10-10 15:17:59.700,2023-10-10 15:18:46.410,,2023-10-10 15:16:32.550
6375,C15192,45044.0,2023-10-10 00:00:00.000,New,Oral agreement,80,10.0,0.0,-10.0,PPRIV MEC,Private partnership - Patronage,Non fléché,False,2023-10-10 15:13:08.387,2023-10-10 15:13:40.057,,2023-10-10 15:12:35.913
6374,C15192,45044.0,2023-10-10 00:00:00.000,New,Oral agreement,80,10.0,0.0,-10.0,PPRIV MEC,Private partnership - Patronage,Non fléché,False,2023-10-10 15:10:52.573,2023-10-10 15:11:28.313,,2023-10-10 15:10:32.783
6373,C15192,45044.0,2023-10-10 00:00:00.000,New,Oral agreement,80,10.0,0.0,-10.0,PPRIV MEC,Private partnership - Patronage,Non fléché,False,2023-10-10 15:08:29.677,2023-10-10 15:09:12.447,,2023-10-10 15:07:54.407
6372,C01752,40326.0,2023-10-10 00:00:00.000,New,Oral agreement,80,100.0,0.0,-100.0,PPRIV MEC,Private partnership - Patronage,Non fléché,False,2023-10-10 15:04:07.987,2023-10-10 15:04:40.237,,2023-10-10 15:03:20.337
6371,C01672,47664.0,2023-12-13 00:00:00.000,New,Initial Prospect,20,415.8,0.0,-415.8,CAMP SAL,Campus - Room,,,2023-10-10 15:03:45.690,2023-10-10 15:09:26.213,,2023-10-10 15:03:40.213
6370,C01752,40326.0,2023-10-10 00:00:00.000,New,Oral agreement,80,100.0,0.0,-100.0,PPRIV MEC,Private partnership - Patronage,Non fléché,False,2023-10-10 15:01:52.647,2023-10-10 15:02:25.453,,2023-10-10 15:01:13.350
6369,C04400,40325.0,2023-10-10 00:00:00.000,New,Oral agreement,80,10.0,0.0,-10.0,PPRIV MEC,Private partnership - Patronage,Non fléché,False,2023-10-10 14:58:08.727,2023-10-10 14:58:57.573,,2023-10-10 14:57:22.617
6368,C04400,40325.0,2023-10-10 00:00:00.000,New,Oral agreement,80,10.0,0.0,-10.0,PPRIV MEC,Private partnership - Patronage,Non fléché,False,2023-10-10 14:55:50.730,2023-10-10 14:56:29.510,,2023-10-10 14:54:58.347
6367,C21513,47644.0,2023-10-10 00:00:00.000,New,Oral agreement,80,20.0,0.0,-20.0,PPRIV MEC,Private partnership - Patronage,Non fléché,False,2023-10-10 14:50:39.763,2023-10-10 14:51:20.130,,2023-10-10 14:49:33.530
6366,C01762,40335.0,2023-10-10 00:00:00.000,New,Oral agreement,80,200.0,0.0,-200.0,PPRIV MEC,Private partnership - Patronage,Non fléché,False,2023-10-10 14:44:56.993,2023-10-10 14:45:32.263,,2023-10-10 14:44:16.780
6365,C18115,46338.0,2023-10-25 00:00:00.000,Won,Won,100,150.0,0.0,-150.0,CAMP TER,Campus - Field,,,2023-10-10 14:43:49.470,2023-10-11 14:47:45.550,2023-10-11 00:00:00.000,2023-10-10 14:41:23.223
6364,C01762,40335.0,2023-10-10 00:00:00.000,New,Oral agreement,80,200.0,0.0,-200.0,PPRIV MEC,Private partnership - Patronage,Non fléché,False,2023-10-10 14:42:31.077,2023-10-10 14:43:09.713,,2023-10-10 14:41:44.457
6363,C21537,47663.0,2023-10-10 00:00:00.000,New,Oral agreement,80,40.0,0.0,-40.0,PPRIV MEC,Private partnership - Patronage,Non fléché,False,2023-10-10 14:36:50.353,2023-10-10 14:38:46.433,,2023-10-10 14:30:05.797
6362,C13933,44463.0,2023-10-10 00:00:00.000,New,Oral agreement,80,5.0,0.0,-5.0,PPRIV MEC,Private partnership - Patronage,Non fléché,False,2023-10-10 14:19:59.010,2023-10-10 14:20:36.267,,2023-10-10 14:19:07.283
6361,C13933,44463.0,2023-10-10 00:00:00.000,New,Oral agreement,80,5.0,0.0,-5.0,PPRIV MEC,Private partnership - Patronage,Non fléché,False,2023-10-10 14:17:30.113,2023-10-10 14:18:07.870,,2023-10-10 14:16:08.593
6360,C01756,40329.0,2023-10-10 00:00:00.000,New,Oral agreement,80,30.0,0.0,-30.0,PPRIV MEC,Private partnership - Patronage,Non fléché,False,2023-10-10 14:10:28.503,2023-10-10 14:11:38.573,,2023-10-10 14:09:48.653
6359,C01756,40329.0,2023-10-10 00:00:00.000,New,Oral agreement,80,30.0,0.0,-30.0,PPRIV MEC,Private partnership - Patronage,Non fléché,False,2023-10-10 14:07:37.790,2023-10-10 14:08:38.270,,2023-10-10 14:07:03.520
6358,C06954,41963.0,2023-10-10 00:00:00.000,New,Oral agreement,80,100.0,0.0,-100.0,PPRIV MEC,Private partnership - Patronage,Non fléché,False,2023-10-10 12:35:52.747,2023-10-10 12:36:30.663,,2023-10-10 12:34:51.967
6357,C21511,47639.0,2023-10-10 00:00:00.000,New,Oral agreement,80,1500.0,0.0,-1500.0,PPRIV MEC,Private partnership - Patronage,Non fléché,False,2023-10-10 12:26:46.410,2023-10-10 12:26:46.410,,2023-10-10 12:25:30.307
6356,C15046,45005.0,2023-10-10 00:00:00.000,New,Oral agreement,80,50.0,0.0,-50.0,PPRIV MEC,Private partnership - Patronage,Non fléché,False,2023-10-10 12:21:25.800,2023-10-10 12:21:59.560,,2023-10-10 12:20:42.163
6355,C15046,45005.0,2023-10-10 00:00:00.000,New,Oral agreement,80,50.0,0.0,-50.0,PPRIV MEC,Private partnership - Patronage,Non fléché,False,2023-10-10 12:17:58.807,2023-10-10 12:19:40.850,,2023-10-10 12:16:03.020
6354,C15046,45005.0,2023-10-10 00:00:00.000,New,Oral agreement,80,50.0,0.0,-50.0,PPRIV MEC,Private partnership - Patronage,Non fléché,False,2023-10-10 12:14:23.337,2023-10-10 12:15:04.230,,2023-10-10 12:13:43.407
6353,C01758,39125.0,2023-10-10 00:00:00.000,New,Oral agreement,80,20.0,0.0,-20.0,PPRIV MEC,Private partnership - Patronage,Non fléché,False,2023-10-10 12:09:14.940,2023-10-10 12:09:54.850,,2023-10-10 12:08:40.807
6352,C03975,40711.0,2023-10-10 00:00:00.000,New,Oral agreement,80,30.0,0.0,-30.0,PPRIV MEC,Private partnership - Patronage,Non fléché,False,2023-10-10 12:06:10.737,2023-10-10 12:06:50.520,,2023-10-10 12:05:32.227
6351,C03975,40711.0,2023-10-10 00:00:00.000,New,Oral agreement,80,30.0,0.0,-30.0,PPRIV MEC,Private partnership - Patronage,Non fléché,False,2023-10-10 12:03:30.223,2023-10-10 12:04:37.357,,2023-10-10 12:02:33.980
