Opportunity ID,Business Account,Status,Stage,Estimated amount,Amount received,Difference,Class ID,Class,Programme financé
6387,C00037,New,Won,9000.0,0.0,-9000.0,PPRIV EVNT,Private partnership - Event,
6386,C01254,New,Won,9000.0,0.0,-9000.0,PPRIV EVNT,Private partnership - Event,
6365,C18115,Won,Won,150.0,0.0,-150.0,CAMP TER,Campus - Field,
6346,C00510,New,Won,1047.81,0.0,-1047.81,PPRIV MEC,Private partnership - Patronage,Sport
6338,C00366,Won,Won,756.0,0.0,-756.0,CAMP SAL,Campus - Room,
6329,C00340,New,Won,10000.0,0.0,-10000.0,PPRIV EVNT,Private partnership - Event,
6294,C11880,New,Won,3666.6,0.0,-3666.6,PPRIV MEC,Private partnership - Patronage,Non fléché
6291,C00621,New,Won,200000.0,0.0,-200000.0,PPRIV MEC,Private partnership - Patronage,Non fléché
6287,C00833,New,Won,10000.0,0.0,-10000.0,PPRIV EVNT,Private partnership - Event,
6286,C00290,New,Won,10000.0,0.0,-10000.0,PPRIV EVNT,Private partnership - Event,
6281,C04952,Won,Won,455.0,0.0,-455.0,CAMP SAL,Campus - Room,
6243,C00590,New,Won,6000.0,0.0,-6000.0,PPRIV EVNT,Private partnership - Event,
6242,C00675,New,Won,4500.0,0.0,-4500.0,PPRIV EVNT,Private partnership - Event,
6236,C00004,New,Won,10000.0,0.0,-10000.0,PPRIV EVNT,Private partnership - Event,
6235,C14732,New,Won,1200.0,0.0,-1200.0,PPRIV EVNT,Private partnership - Event,
6234,C00625,New,Won,1200.0,0.0,-1200.0,PPRIV EVNT,Private partnership - Event,
6233,C00065,New,Won,4500.0,0.0,-4500.0,PPRIV EVNT,Private partnership - Event,
6232,C01535,New,Won,3600.0,0.0,-3600.0,PPRIV EVNT,Private partnership - Event,
6231,C06758,New,Won,6000.0,0.0,-6000.0,PPRIV EVNT,Private partnership - Event,
6229,C14779,New,Won,112.5,0.0,-112.5,PPRIV MEC,Private partnership - Patronage,Non fléché
6228,C00237,New,Won,10000.0,0.0,-10000.0,PPRIV EVNT,Private partnership - Event,
6227,C00627,New,Won,10000.0,0.0,-10000.0,PPRIV EVNT,Private partnership - Event,
6226,C00578,New,Won,10000.0,0.0,-10000.0,PPRIV EVNT,Private partnership - Event,
6222,C00315,New,Won,16000.0,0.0,-16000.0,PPRIV EVNT,Private partnership - Event,
6217,C00633,New,Won,9000.0,0.0,-9000.0,PPRIV EVNT,Private partnership - Event,
6215,C11323,New,Won,9000.0,0.0,-9000.0,PPRIV EVNT,Private partnership - Event,
6213,C07987,New,Won,9000.0,0.0,-9000.0,PPRIV EVNT,Private partnership - Event,
6195,C01194,New,Won,8460.0,0.0,-8460.0,PPUB,Public partnership,Entrepreneurs dans la Ville
6182,C00985,New,Won,9000.0,0.0,-9000.0,PPRIV EVNT,Private partnership - Event,
6176,C14772,New,Won,9000.0,0.0,-9000.0,PPRIV EVNT,Private partnership - Event,
6175,C00875,New,Won,9000.0,0.0,-9000.0,PPRIV EVNT,Private partnership - Event,
6174,C00094,Won,Won,9000.0,9000.0,0.0,PPRIV EVNT,Private partnership - Event,
6161,C03977,Won,Won,2024.7,0.0,-2024.7,CAMP SAL,Campus - Room,
6160,C03977,Won,Won,4203.0,0.0,-4203.0,CAMP SAL,Campus - Room,
6158,C00366,New,Won,0.0,0.0,0.0,PPRIV EVNT,Private partnership - Event,
6126,C21171,Won,Won,7620.0,7620.0,0.0,PPRIV MEC,Private partnership - Patronage,Non fléché
6074,C01439,New,Won,600000.0,0.0,-600000.0,PPUB,Public partnership,Non fléché
6017,C16722,Won,Won,340.0,0.0,-340.0,CAMP EVT,Campus - Event,
6003,C00243,New,Won,2000.0,0.0,-2000.0,PPRIV EVNT,Private partnership - Event,
5990,C00392,New,Won,28399.0,0.0,-28399.0,PPRIV DONN,Private partnership - Donation in kind,Non fléché
5970,C01326,New,Won,130000.0,0.0,-130000.0,PPUB,Public partnership,Sport
5957,C00206,Won,Won,30000.0,30000.0,0.0,PPRIV MEC,Private partnership - Patronage,Job dans la Ville
5956,C14102,New,Won,320.0,0.0,-320.0,CAMP EVT,Campus - Event,
5948,C00941,Won,Won,30000.0,0.0,-30000.0,PPRIV MEC,Private partnership - Patronage,Séjours et Camps
5937,C11102,Won,Won,2222.8,0.0,-2222.8,CAMP EVT,Campus - Event,
5936,C00011,New,Won,10000.0,0.0,-10000.0,PPRIV EVNT,Private partnership - Event,
5935,C20888,Won,Won,320.0,320.0,0.0,CAMP EVT,Campus - Event,
5933,C20850,Won,Won,320.0,320.0,0.0,CAMP EVT,Campus - Event,
5932,C14834,Won,Won,320.0,320.0,0.0,CAMP EVT,Campus - Event,
5931,C20758,Won,Won,320.0,320.0,0.0,CAMP EVT,Campus - Event,
5926,C14101,New,Won,320.0,0.0,-320.0,CAMP EVT,Campus - Event,
5925,C00047,New,Won,6000.0,2000.0,-4000.0,PPRIV MEC,Private partnership - Patronage,Job dans la Ville
5924,C20732,New,Won,10000.0,0.0,-10000.0,PPRIV EVNT,Private partnership - Event,
5923,C01406,Won,Won,5217.0,5217.0,0.0,PPUB,Public partnership,Séjours et Camps
5921,C20252,Won,Won,13796.72,0.0,-13796.72,CAMP EVT,Campus - Event,
5920,C20731,Won,Won,320.0,320.0,0.0,PPRIV EVNT,Private partnership - Event,
5919,C03982,Won,Won,201.6,0.0,-201.6,CAMP SAL,Campus - Room,
5915,C00665,Won,Won,10000.0,10000.0,0.0,PPRIV EVNT,Private partnership - Event,
5907,C12508,Won,Won,415.8,415.8,0.0,CAMP SAL,Campus - Room,
5906,C20706,New,Won,5000.0,0.0,-5000.0,PPRIV MEC,Private partnership - Patronage,Sport
5905,C20704,New,Won,10000.0,0.0,-10000.0,PPRIV EVNT,Private partnership - Event,
5889,C10921,Won,Won,428.4,0.0,-428.4,CAMP SAL,Campus - Room,
5888,C01386,New,Won,15000.0,12000.0,-3000.0,PPUB,Public partnership,Sport
5887,C01386,New,Won,15000.0,12000.0,-3000.0,PPUB,Public partnership,Sport
5886,C20548,Won,Won,5000.0,5000.0,0.0,PPRIV MEC,Private partnership - Patronage,Non fléché
5885,C00292,Open,Won,5000.0,0.0,-5000.0,PPRIV MEC,Private partnership - Patronage,Réussite dans la Ville
5884,C04437,Won,Won,10000.0,0.0,-10000.0,PPRIV EVNT,Private partnership - Event,
5883,C03982,Won,Won,201.6,0.0,-201.6,CAMP SAL,Campus - Room,
5881,C20255,Won,Won,39759.0,39759.0,0.0,PPRIV MEC,Private partnership - Patronage,L dans la Ville
